order_id,order_date,category,brand,city,customer_rating,price,quantity,review,is_active,customer_id
E-0000001,2024-05-27,Sports,Brand Alpha,Islamabad,3,191.34,2,good grip,True,C-626
E-0000002,2024-06-06,Books,Brand Delta,London,4,40.32,2,print quality good,True,C-292
E-0000003,2024-03-02,Home,Brand Delta,Karachi,2,392.63,4,very useful,True,C-361
E-0000004,2024-10-25,Beauty,Brand Alpha,New York,3,304.8,2,skin felt great,False,C-48
E-0000005,2023-11-29,Electronics,Brand Alpha,New York,2,88.84,4,battery dies fast,False,C-1208
E-0000006,2024-05-08,Books,Brand Gamma,London,5,47.36,3,print quality good,True,C-130
E-0000007,2024-04-25,Electronics,Brand Delta,New York,5,114.51,2,battery dies fast,False,C-946
E-0000008,2023-07-08,Clothing,Brand Beta,Karachi,4,301.85,2,color faded after wash,False,C-1112
E-0000009,2024-02-05,Sports,Brand Gamma,Karachi,4,44.5,2,poor durability,True,C-643
E-0000010,2023-07-07,Sports,Brand Beta,Islamabad,2,390.76,2,great for training,True,C-451
E-0000011,2023-10-23,Beauty,Brand Alpha,New York,5,139.58,1,too expensive,True,C-1028
E-0000012,2024-07-20,Beauty,Brand Gamma,Karachi,2,35.45,2,caused irritation,False,C-213
E-0000013,2024-11-19,Clothing,Brand Beta,Dubai,5,283.1,2,seams came apart,True,C-5
E-0000014,2024-01-17,Books,Brand Alpha,Karachi,3,378.36,2,informative,True,C-765
E-0000015,2024-02-15,Home,Brand Beta,London,3,296.5,2,would buy again,True,C-442
E-0000016,2024-11-21,Clothing,Brand Beta,New York,4,48.94,1,great value,True,C-838
E-0000017,2023-12-21,Clothing,Brand Alpha,Karachi,4,367.05,2,comfortable and stylish,True,C-1096
E-0000018,2023-11-09,Books,Brand Gamma,Islamabad,3,160.13,1,print quality good,True,C-529
E-0000019,2024-07-11,Beauty,Brand Delta,Islamabad,4,132.21,1,skin felt great,False,C-679
E-0000020,2024-03-30,Sports,Brand Delta,Islamabad,4,25.14,2,great for training,True,C-520
E-0000021,2024-01-14,Beauty,Brand Alpha,New York,2,45.3,3,skin felt great,True,C-1096
